train,val
"{'net_loss': 4.9013447761535645, 'net_accuracy': 4.442930221557617, 'precision': 0.033519501879449944, 'recall': 0.9992609803369009}","{'net_loss': 4.8455023765563965, 'net_accuracy': 8.317689895629883, 'precision': 0.04978310926617093, 'recall': 0.9812971471811154}"
"{'net_loss': 0.24318885803222656, 'net_accuracy': 59.24954414367676, 'precision': 0.019546954625693985, 'recall': 0.22960794575538163}","{'net_loss': 0.1725831776857376, 'net_accuracy': 58.924808502197266, 'precision': 0.04330385858282395, 'recall': 0.3508237836319809}"
"{'net_loss': 0.025601256638765335, 'net_accuracy': 87.3171329498291, 'precision': 0.07622852852723279, 'recall': 0.2540099724521075}","{'net_loss': -0.027254823595285416, 'net_accuracy': 86.0299015045166, 'precision': 0.05729789044446201, 'recall': 0.12016436667732801}"
"{'net_loss': 0.0222757700830698, 'net_accuracy': 88.40622901916504, 'precision': 0.08281686349719054, 'recall': 0.24772686753431986}","{'net_loss': -0.017845911905169487, 'net_accuracy': 86.0118579864502, 'precision': 0.06545620841915586, 'recall': 0.14012902823175155}"
"{'net_loss': 0.007432255428284407, 'net_accuracy': 87.78192520141602, 'precision': 0.07978048099692961, 'recall': 0.25478924999568664}","{'net_loss': -0.04432288557291031, 'net_accuracy': 78.99918556213379, 'precision': 0.09093471427111639, 'recall': 0.36619561740867}"
"{'net_loss': -0.06852320581674576, 'net_accuracy': 86.36977195739746, 'precision': 0.07421808254730167, 'recall': 0.2710390558951915}","{'net_loss': -0.11983006447553635, 'net_accuracy': 84.71808433532715, 'precision': 0.07068782518456182, 'recall': 0.17495455928355788}"
"{'net_loss': -0.10234037786722183, 'net_accuracy': 89.82909202575684, 'precision': 0.029525623654013577, 'recall': 0.06485256989055607}","{'net_loss': -0.20973561704158783, 'net_accuracy': 88.05767059326172, 'precision': 0.06404179607082977, 'recall': 0.10592757568902168}"
"{'net_loss': -0.11684548854827881, 'net_accuracy': 88.05752754211426, 'precision': 0.0720392673055395, 'recall': 0.2189108517992397}","{'net_loss': -0.19046945869922638, 'net_accuracy': 88.31268310546875, 'precision': 0.06864221320603073, 'recall': 0.11059841328039068}"
"{'net_loss': -0.15776942670345306, 'net_accuracy': 85.74994087219238, 'precision': 0.07048313243713673, 'recall': 0.2704955745087101}","{'net_loss': -0.22354352474212646, 'net_accuracy': 86.89413070678711, 'precision': 0.06290373972321948, 'recall': 0.12089570868015197}"
"{'net_loss': -0.14170685410499573, 'net_accuracy': 87.11599349975586, 'precision': 0.08015992982773311, 'recall': 0.2754012848014999}","{'net_loss': -0.2047492265701294, 'net_accuracy': 87.15348243713379, 'precision': 0.06608895005154097, 'recall': 0.12391078797712753}"
