train,val
"{'net_loss': 0.3600783348083496, 'net_accuracy': 38.283443450927734, 'precision': 0.21863072188386642, 'recall': 0.5036780752648108}","{'net_loss': 0.37408143281936646, 'net_accuracy': 41.295814514160156, 'precision': 0.214691798970834, 'recall': 0.5441936253080041}"
"{'net_loss': 0.1677764356136322, 'net_accuracy': 41.4616584777832, 'precision': 0.21938653044527762, 'recall': 0.46055250971416406}","{'net_loss': 0.16716153919696808, 'net_accuracy': 39.61772918701172, 'precision': 0.19224278952411988, 'recall': 0.4735871552340831}"
"{'net_loss': 0.028463106602430344, 'net_accuracy': 34.72118377685547, 'precision': 0.21466318049444125, 'recall': 0.5375206259647629}","{'net_loss': 0.02383110113441944, 'net_accuracy': 34.126853942871094, 'precision': 0.19707275883097997, 'recall': 0.5676575788888005}"
"{'net_loss': -0.004293633624911308, 'net_accuracy': 31.80561065673828, 'precision': 0.22569935537623312, 'recall': 0.632526037508206}","{'net_loss': -0.006185046397149563, 'net_accuracy': 30.05390167236328, 'precision': 0.20263948513746702, 'recall': 0.6524521103250934}"
"{'net_loss': -0.025980263948440552, 'net_accuracy': 30.834579467773438, 'precision': 0.23477193641421434, 'recall': 0.6964496726459786}","{'net_loss': -0.02719210833311081, 'net_accuracy': 30.20305633544922, 'precision': 0.20981841823503394, 'recall': 0.6900325888244178}"
"{'net_loss': -0.04180644452571869, 'net_accuracy': 34.742069244384766, 'precision': 0.24068466248814482, 'recall': 0.6627951952591331}","{'net_loss': -0.04127030074596405, 'net_accuracy': 34.688568115234375, 'precision': 0.21764248880268214, 'recall': 0.6635561561084174}"
"{'net_loss': -0.05145888403058052, 'net_accuracy': 34.05904769897461, 'precision': 0.24503369790642265, 'recall': 0.6984936392186086}","{'net_loss': -0.050624966621398926, 'net_accuracy': 33.960723876953125, 'precision': 0.2251134833142116, 'recall': 0.717407201335347}"
"{'net_loss': -0.05874234437942505, 'net_accuracy': 34.328651428222656, 'precision': 0.24745755977885023, 'recall': 0.7072585653199908}","{'net_loss': -0.057811543345451355, 'net_accuracy': 34.63554382324219, 'precision': 0.22680965552683685, 'recall': 0.7156267387330101}"
"{'net_loss': -0.06465809792280197, 'net_accuracy': 35.10751724243164, 'precision': 0.2516973243938839, 'recall': 0.7169709550930609}","{'net_loss': -0.06397842615842819, 'net_accuracy': 35.041236877441406, 'precision': 0.229485399887643, 'recall': 0.7240600906128288}"
"{'net_loss': -0.07001007348299026, 'net_accuracy': 37.73040771484375, 'precision': 0.2620595743807852, 'recall': 0.7252532779759053}","{'net_loss': -0.06898551434278488, 'net_accuracy': 36.79790496826172, 'precision': 0.23700109779596348, 'recall': 0.736157698116207}"
"{'net_loss': -0.07668290287256241, 'net_accuracy': 42.54722595214844, 'precision': 0.28097030474017504, 'recall': 0.7297670374904632}","{'net_loss': -0.07527972012758255, 'net_accuracy': 42.24414825439453, 'precision': 0.2589588479944219, 'recall': 0.7557189412606311}"
"{'net_loss': -0.08275888115167618, 'net_accuracy': 42.851924896240234, 'precision': 0.28967831189276005, 'recall': 0.7757278969500186}","{'net_loss': -0.08081940561532974, 'net_accuracy': 42.424583435058594, 'precision': 0.26893343798316327, 'recall': 0.8143311342500597}"
"{'net_loss': -0.08828440308570862, 'net_accuracy': 47.94807434082031, 'precision': 0.30589250815769237, 'recall': 0.7381593655187098}","{'net_loss': -0.08537828177213669, 'net_accuracy': 47.51472473144531, 'precision': 0.29214236808852917, 'recall': 0.8343136475637867}"
"{'net_loss': -0.09514853358268738, 'net_accuracy': 54.89816665649414, 'precision': 0.3351737246622787, 'recall': 0.6895654796756623}","{'net_loss': -0.09090854972600937, 'net_accuracy': 55.54065704345703, 'precision': 0.3262472913137412, 'recall': 0.800588188538272}"
"{'net_loss': -0.10180488228797913, 'net_accuracy': 62.22238540649414, 'precision': 0.3793394605411476, 'recall': 0.6376962793420983}","{'net_loss': -0.09613999724388123, 'net_accuracy': 65.1947021484375, 'precision': 0.3812348059351161, 'recall': 0.7229552499801287}"
